episode_id,step,goal,memory_total,frontier_count,recent_fingerprint,uniform_fingerprint,scm_fingerprint,recent_len,uniform_len,scm_len,recent_uniform_same_fp,recent_scm_same_fp,uniform_scm_same_fp,all_same_raw,all_same_action,raw_output
1237,12,dishwasher,5,5,6b9b83e951f77a6e,6b9b83e951f77a6e,6b9b83e951f77a6e,5,5,5,True,True,True,True,True,"<coordinate>[1.60, 0.60]</coordinate>"
1237,37,dishwasher,10,4,aa23653f6f30c073,aa23653f6f30c073,aa23653f6f30c073,10,10,10,True,True,True,True,True,"<coordinate>[1.78, -6.91]</coordinate>"
1237,95,dishwasher,15,5,77259af68279bc11,77259af68279bc11,724237a2d8bbbfd5,15,15,12,True,False,False,True,True,"<coordinate>[0.12, -2.92]</coordinate>"
1237,126,dishwasher,20,4,98abdd638773216e,98abdd638773216e,172238da9b507a8a,20,20,13,True,False,False,True,True,"<coordinate>[1.74, -0.46]</coordinate>"
1237,155,dishwasher,25,4,d1dc81440d376049,d1dc81440d376049,28abd759acc34095,25,25,14,True,False,False,True,True,"<coordinate>[4.05, 1.65]</coordinate>"
1237,215,dishwasher,30,1,efcd7527e3fcd75c,efcd7527e3fcd75c,c5950fedddd20698,30,30,15,True,False,False,True,True,"<coordinate>[-4.16, -0.92]</coordinate>"
2644,12,flowerpot,5,5,64ac1ac6b8b2ae7e,64ac1ac6b8b2ae7e,64ac1ac6b8b2ae7e,5,5,5,True,True,True,True,True,"<coordinate>[4.24, 1.91]</coordinate>"
2644,50,flowerpot,10,7,21d73cd5d842dfb7,21d73cd5d842dfb7,21d73cd5d842dfb7,10,10,10,True,True,True,True,True,"<coordinate>[3.40, -2.54]</coordinate>"
2644,91,flowerpot,15,11,b653f06fad4a0351,b653f06fad4a0351,7195ba8343ff2968,15,15,12,True,False,False,True,True,"<coordinate>[3.13, -2.19]</coordinate>"
2644,126,flowerpot,20,12,69541ad623353b8a,69541ad623353b8a,1b788a6eef4bc41a,20,20,13,True,False,False,True,True,"<coordinate>[8.14, -1.72]</coordinate>"
2644,197,flowerpot,25,13,b58bf3f8c0bb85f1,b58bf3f8c0bb85f1,3f8440e0046efe54,25,25,14,True,False,False,True,True,"<coordinate>[0.38, -6.43]</coordinate>"
2644,259,flowerpot,30,10,a0ef2d3702123cce,a0ef2d3702123cce,f66a150eb4c89f4e,30,30,15,True,False,False,True,True,"<coordinate>[8.16, -2.18]</coordinate>"
3693,12,guitar,5,2,f967a964a37f459e,f967a964a37f459e,f967a964a37f459e,5,5,5,True,True,True,True,True,"<coordinate>[-1.84, 0.51]</coordinate>"
3693,39,guitar,10,1,5f476f0506605569,5f476f0506605569,5f476f0506605569,10,10,10,True,True,True,True,True,"<coordinate>[0.05, 0.58]</coordinate>"
3693,55,guitar,15,2,feae4f93087a26b2,feae4f93087a26b2,dfff287d9fa9c240,15,15,12,True,False,False,True,True,"<coordinate>[-1.10, 1.80]</coordinate>"
3693,76,guitar,20,2,a2b80d1386c945c0,a2b80d1386c945c0,e20d5ee6b9f744e6,20,20,13,True,False,False,True,True,"<coordinate>[0.56, -1.22]</coordinate>"
3693,100,guitar,25,2,aa18d44d33849a8e,aa18d44d33849a8e,5312c74e7196d6b7,25,25,13,True,False,False,True,True,"<coordinate>[-0.76, -4.28]</coordinate>"
3693,142,guitar,30,5,1e51a11070d7476b,1e51a11070d7476b,7a18f12f372b3579,30,30,14,True,False,False,True,True,"<coordinate>[0.75, -0.83]</coordinate>"
3693,167,guitar,35,6,61319ef6558444ff,61319ef6558444ff,3a7dcfcbacf66d02,35,35,18,True,False,False,True,True,"<coordinate>[4.72, 1.22]</coordinate>"
3693,217,guitar,40,5,da68a9882e71676f,da68a9882e71676f,b3982084de451ef7,40,40,24,True,False,False,True,True,"<coordinate>[0.87, -4.88]</coordinate>"
458,12,hanging clothes,5,2,6f80367a6f742017,6f80367a6f742017,6f80367a6f742017,5,5,5,True,True,True,True,True,"<coordinate>[-1.19, 0.67]</coordinate>"
458,31,hanging clothes,10,2,37cf1e1a9b2e5dfc,37cf1e1a9b2e5dfc,37cf1e1a9b2e5dfc,10,10,10,True,True,True,True,True,"<coordinate>[2.94, -0.06]</coordinate>"
458,58,hanging clothes,15,4,b18986bf1854176d,b18986bf1854176d,4af2489b087eaaaa,15,15,12,True,False,False,True,True,"<coordinate>[0.53, -0.89]</coordinate>"
458,82,hanging clothes,20,4,397974757ef4fb33,397974757ef4fb33,3a47a9374ef77707,20,20,13,True,False,False,True,True,"<coordinate>[1.17, -2.36]</coordinate>"
458,117,hanging clothes,25,4,5e0b92ce17bb81c4,5e0b92ce17bb81c4,d3ac346ea1996a56,25,25,14,True,False,False,True,True,"<coordinate>[1.83, -2.94]</coordinate>"
458,150,hanging clothes,30,4,a5fbe00782e8a565,a5fbe00782e8a565,2b6a7ed9dfbae498,30,30,14,True,False,False,True,True,"<coordinate>[2.74, -2.13]</coordinate>"
458,202,hanging clothes,35,4,7288bb4cf41d7b65,7288bb4cf41d7b65,59066829d6ebb2ac,35,35,19,True,False,False,True,True,"<coordinate>[0.32, 0.61]</coordinate>"
458,222,hanging clothes,40,3,81e3c2cebd18a320,81e3c2cebd18a320,375c777aba266832,40,40,25,True,False,False,True,True,"<coordinate>[1.12, -3.96]</coordinate>"
6989,12,exercise bike,5,3,35c732efe01be05e,35c732efe01be05e,35c732efe01be05e,5,5,5,True,True,True,True,True,"<coordinate>[2.08, 0.12]</coordinate>"
6989,36,exercise bike,10,4,4bf03aeb41cb8dc1,4bf03aeb41cb8dc1,4bf03aeb41cb8dc1,10,10,10,True,True,True,True,True,"<coordinate>[0.57, -4.33]</coordinate>"
6989,79,exercise bike,15,3,ded93a2da2f1e8ff,ded93a2da2f1e8ff,c0f8a76ba0a200d9,15,15,12,True,False,False,True,True,"<coordinate>[0.94, -4.15]</coordinate>"
6989,120,exercise bike,20,3,8cf0ebe3aa829edd,8cf0ebe3aa829edd,70a2b29e554b26bd,20,20,13,True,False,False,True,True,"<coordinate>[5.04, 1.25]</coordinate>"
6989,181,exercise bike,25,3,93537ee6202da512,93537ee6202da512,649966aac47503d4,25,25,14,True,False,False,True,True,"<coordinate>[-4.32, -1.61]</coordinate>"
6989,224,exercise bike,30,2,1a833e8e43a76805,1a833e8e43a76805,efe826ef5e08c0d8,30,30,15,True,False,False,True,True,"<coordinate>[-4.22, -0.65]</coordinate>"
